"$id","time","hook_load","oil_temp_gearbox","oil_temp_swivel","pressure_gearbox","rpm","temp_ambient","torque","wob","mru_pos","mru_vel","ram_pos_measured","ram_pos_setpoint","ram_vel_measured","ram_vel_setpoint","friction_coeff"
724,"2013-01-09T20:48:23",96.5058,29.651414605007695,35.36050049652273,2.947018050026477,32.113660164646696,17.31,9.577476673448627,-1.8012108064516128,-108.71327419354839,-249.45247203947366,32350.848387096772,32359.75322580645,-180.29067735263703,0,0.009786301637596227
725,"2013-01-09T20:48:24",97.8394,29.647523808145994,35.359503259639474,2.9471130567236705,32.1360932769266,17.31,9.614863665492958,-2.8307738095238095,-343.16231746031747,-195.32760317460318,32180.614285714288,32189.407936507938,-156.16772727272726,0,0.0097341700699259
726,"2013-01-09T20:48:25",98.4971,29.643633011284297,35.35850602275622,2.947208063420864,32.125006699433705,17.31,9.533177045774648,-2.9310729787234044,-492.24155172413793,-82.28561063829787,32089.50425531915,32091.968085106382,-56.76276046511628,0,0.00982009511285495
727,"2013-01-09T20:48:26",97.12960000000001,29.639742214422597,35.35750878587296,2.9473030701180574,32.09602924457741,17.31,9.340666200657894,-1.9660335483870968,-503.43052686567165,55.99524677419355,32088.979032258063,32087.68064516129,16.77787885321101,0,0.010024922721262394
728,"2013-01-09T20:48:27",96.63785,29.635851417560897,35.35651154898971,2.947398076815251,32.06705178972113,17.31,9.268395637898687,-1.5434208064516128,-377.201564516129,189.5536935483871,32175.075806451612,32169.404838709677,112.36828679245282,0,0.010115834158540575
729,"2013-01-09T20:48:28",95.50954999999999,29.6319606206992,35.35551431210645,2.947493083512444,32.03807433486484,17.31,9.23250758286429,-0.3406914743589743,-148.02462903225808,270.37451612903226,32332.682258064517,32322.429032258064,178.77365480427045,0,0.01016291317326303
730,"2013-01-09T20:48:29",94.225,29.6280698238375,35.35451707522319,2.9475880902096376,32.00909688000854,17.31,9.196619527829894,0.7973884042553191,136.78523404255318,279.20315384615384,32529.32340425532,32519.08510638298,187.48466223612198,0,0.0102101515805873
731,"2013-01-09T20:48:30",93.2491,29.6241790269758,35.35351983833994,2.947683096906831,31.98011942515226,17.31,9.102040921228305,1.8565617021276597,384.34322580645164,217.25035483870968,32705.478723404256,32697.174468085104,163.18409074733094,0,0.010321415902212494
732,"2013-01-09T20:48:31",92.5259,29.620288230114102,35.352522601456684,2.947778103604024,31.95114197029597,17.31,9.079294347826087,2.168102299465241,554.9286021505377,125.37427956989248,32814.19574468085,32811.04680851064,87.9917679144385,0,0.010359247520852564
733,"2013-01-09T20:48:32",92.63295,29.616397433252402,35.35152536457343,2.947873110301218,31.922164515439682,17.31,9.105381304347825,1.7696525531914893,624.4385598290598,18.14121063829787,32843.64423076923,32843.671428571426,4.957943887775551,0,0.010337095424784233
734,"2013-01-09T20:48:33",93.72555,29.6125066363907,35.35052812769017,2.9479681169984113,31.893187060583394,17.31,9.131468260869564,1.1278531914893617,589.3757659574468,-75.61745106382979,32809.40638297872,32812.86595744681,-66.85928720930232,0,0.010315311178295029
735,"2013-01-09T20:48:34",94.49610000000001,29.608615839529005,35.34953089080692,2.9480631236956047,31.874917391304347,17.31,9.157555217391304,0.6479298522167488,486.1062741935484,-126.68398387096775,32711.162903225806,32718.537096774195,-109.25422115384616,0,0.010290567689110674
736,"2013-01-09T20:48:35",95.2608,29.604725042667305,35.34853365392366,2.9481581303927977,31.88248527971509,17.31,9.228882762645913,-0.3796921774193549,353.74256451612905,-128.8375647348952,32576.04193548387,32582.198387096774,-136.3501552305962,0,0.01021370192084209
737,"2013-01-09T20:48:36",95.984,29.600834245805604,35.3475364170404,2.9482531370899916,31.890053168125835,17.31,9.33842667671233,-1.21314,234.17797247706423,-106.574,32437.5,32444.9,-126.484575928009,0,0.01008438231220508
738,"2013-01-09T20:48:37",96.877,29.596943448943907,35.34653918015715,2.9483481437871846,31.897621056536575,17.31,9.401432156164386,-1.6738587301587302,142.7272660098522,-65.29412380952381,32324.08888888889,32327.879365079367,-94.49864615384614,0,0.010012214075179722
739,"2013-01-09T20:48:38",97.23675,29.593052652082207,35.34554194327389,2.9484431504843784,31.90518894494732,17.31,9.43076408190091,-2.2145536170212767,97.63089743589744,-23.563582978723403,32270.89574468085,32272.014893617023,-32.71561379310345,0,0.009976088169969784
740,"2013-01-09T20:48:39",95.5886,29.589161855220507,35.344544706390636,2.9485381571815714,31.912756833358067,17.31,9.453966306370072,-0.297505,102.50214932126697,23.002547872340426,32270.374468085105,32270.031914893618,4.198001276595744,0,0.009947607892018677
741,"2013-01-09T20:48:40",95.9165,29.585271058358806,35.34354746950738,2.9486331638787653,31.92032472176881,17.31,9.477168530839231,-0.6259635483870968,139.62920689655172,65.91084487179488,32319.5935483871,32315.645161290322,63.34337101167315,0,0.009919174169845908
742,"2013-01-09T20:48:41",94.89914999999999,29.58138026149711,35.34255023262413,2.948841123965852,31.89747074734522,17.31,9.500370755308392,0.2456364516129032,212.3463853211009,81.33502293488824,32403.14782608696,32398.765217391305,97.06966666666668,0,0.009900102459996325
743,"2013-01-09T20:48:42",94.0438,29.57748946463541,35.34155299574087,2.95024954217344,31.850125525946705,17.31,9.523572979777553,0.54587,292.44885148514857,70.2194255319149,32504.974468085104,32499.317021276598,93.2096072826087,0,0.009889014385703974
744,"2013-01-09T20:48:43",93.8933,29.573598667773712,35.34055575885761,2.9516579603810276,31.802780304548186,17.31,9.636531274038461,0.9577040322580644,339.3516774193548,22.936832258064516,32573.941935483872,32572.35806451613,50.86637860962567,0,0.009783643443800083
745,"2013-01-09T20:48:44",94.78630000000001,29.569707870912012,35.339558521974354,2.953066378588615,31.75543508314967,17.31,9.545100985576921,-0.32906225806451617,327.01710344827586,-42.57800183486239,32580.209677419356,32580.509677419355,-3.948496674584324,0,0.009889322375176816
746,"2013-01-09T20:48:45",95.30799999999999,29.565817074050315,35.3385612850911,2.9544747967962026,31.70808986175115,17.31,9.580898541882108,-0.36024463302752296,255.44656880733945,-87.04245483870967,32541.170967741935,32543.899999999998,-53.08322396946566,0,0.009870175171677712
747,"2013-01-09T20:48:46",95.2531,29.561926277188615,35.337564048207845,2.9558832150037904,31.755700383561646,17.31,9.640570206825233,-0.8172972340425532,164.52895744680848,-89.20798306636155,32475.453191489363,32479.26170212766,-58.967285400593475,0,0.009793711327835724
748,"2013-01-09T20:48:47",96.18365,29.558035480326915,35.33656681132459,2.9572916332113777,31.877015452054795,17.31,9.735345276555627,-1.2581902127659574,82.64701538461539,-67.39866748768473,32412.878723404254,32414.965957446806,-50.20597976261127,0,0.009656837420471109
749,"2013-01-09T20:48:48",96.715,29.554144683465214,35.33556957444134,2.9587000514189654,31.99833052054795,17.31,9.665738111250787,-1.7318977659574468,27.901741353383457,-40.4256037735849,32385.140425531914,32385.51063829787,-15.703912765957448,0,0.009687895106796105
750,"2013-01-09T20:48:49",96.5848,29.550253886603514,35.33457233755808,2.960108469626553,32.1196455890411,17.31,9.547315635103926,-1.3974888461538462,-4.4331184375,-19.214886842105262,32384.24259645464,32384.240177175612,1.173696289509849,0,0.009774701013089478
751,"2013-01-09T20:48:50",95.66579999999999,29.546363089741817,35.33357510067482,2.9615168878341405,32.03099903846154,17.31,9.612806397228637,-0.6503658064516129,-10.18380492795389,1.0189464516129032,32384.294734098017,32384.29228764982,7.385675217590472,0,0.009729453320728505
752,"2013-01-09T20:48:51",94.78630000000001,29.542472292880117,35.33257786379156,2.962925306041728,31.92234519230769,17.31,9.660832701369863,0.04094612903225807,-1.3994465853658538,31.707903205128204,32391.641935483873,32390.50483870968,17.23852072649573,0,0.00971185562517298
753,"2013-01-09T20:48:52",94.5298,29.538581496018416,35.33158062690831,2.964333724249316,31.83562964951058,17.31,9.692994345205479,0.3879922018348624,47.014516860465115,70.60063714285715,32428.745161290324,32426.332258064514,44.71003910447761,0,0.009704671728497417
754,"2013-01-09T20:48:53",94.21545,29.53469069915672,35.330583390025055,2.9657421424569033,31.757069497947583,17.31,9.725155989041095,0.8329451612903226,129.1294680851064,102.57420055710305,32488.04193548387,32484.609677419354,66.88593267175573,0,0.00969484506555939
755,"2013-01-09T20:48:54",93.6445,29.53079990229502,35.3295861531418,2.9671505606644915,31.678509346384594,17.31,9.757317632876711,1.3580723404255317,238.91332258064517,107.65854323499492,32564.48064516129,32560.019354838707,71.19675131729667,0,0.009685164545725988
756,"2013-01-09T20:48:55",93.4787,29.52690910543332,35.32858891625854,2.9685589788720788,31.75312295964126,17.31,9.71418779092702,1.3583414516129033,338.5543076923077,85.81828461538461,32613.609677419354,32612.525806451613,32.710070967741935,0,0.009703752522612434
